"id","name","given_name","gender","wiki_url","laureate_url","external_url","birth","birth_year","death","death_year","birth_location","death_location"
1004,"Gurnah","Abdulrazak","male","https://en.wikipedia.org/wiki/Abdulrazak_Gurnah","https://api.nobelprize.org/2/laureate/1004","https://www.nobelprize.org/laureate/1004",,,,,,
628,"Camus","Albert","male","https://en.wikipedia.org/wiki/Albert_Camus","https://api.nobelprize.org/2/laureate/628","https://www.nobelprize.org/laureate/628","1913-11-07",1913,"1960-01-04",1960,"spvs9cvgyry0","u0d64wnc5jqs"
644,"Solzhenitsyn","Aleksandr","male","https://en.wikipedia.org/wiki/Aleksandr_Solzhenitsyn","https://api.nobelprize.org/2/laureate/644","https://www.nobelprize.org/laureate/644","1918-12-11",1918,"2008-08-03",2008,"szy3u108ttsp","y5g1bdyc0hjd"
892,"Munro","Alice","female","https://en.wikipedia.org/wiki/Alice_Munro","https://api.nobelprize.org/2/laureate/892","https://www.nobelprize.org/laureate/892","1931-07-10",1931,"2024-05-13",2024,"dpy1ttrxjnyr","drb640zemcb6"
590,"France","Anatole","male","https://en.wikipedia.org/wiki/Anatole_France","https://api.nobelprize.org/2/laureate/590","https://www.nobelprize.org/laureate/590","1844-04-16",1844,"1924-10-12",1924,"u09tvwew9tqx","u02mxhvmp0z9"
618,"Gide","André","male","https://en.wikipedia.org/wiki/André_Gide","https://api.nobelprize.org/2/laureate/618","https://www.nobelprize.org/laureate/618","1869-11-22",1869,"1951-02-19",1951,"u09tvwew9tqx","u09tvwew9tqx"
1017,"Ernaux","Annie","female","https://en.wikipedia.org/wiki/Annie_Ernaux","https://api.nobelprize.org/2/laureate/1017","https://www.nobelprize.org/laureate/1017","1940-09-01",1940,,,"u0b3snzru8m5",
621,"Russell","Bertrand","male","https://en.wikipedia.org/wiki/Bertrand_Russell","https://api.nobelprize.org/2/laureate/621","https://www.nobelprize.org/laureate/621","1872-05-18",1872,"1970-02-02",1970,"gcnn3gzk3znh","gcmj57qrhvmp"
572,"Bjørnson","Bjørnstjerne","male","https://en.wikipedia.org/wiki/Bjørnstjerne_Bjørnson","https://api.nobelprize.org/2/laureate/572","https://www.nobelprize.org/laureate/572","1832-12-08",1832,"1910-04-26",1910,"u5p7gjje27rq","u09tvwew9tqx"
937,"Dylan","Bob","male","https://en.wikipedia.org/wiki/Bob_Dylan","https://api.nobelprize.org/2/laureate/937","https://www.nobelprize.org/laureate/937","1941-05-24",1941,,,"cbq6pdu81445",
629,"Pasternak","Boris","male","https://en.wikipedia.org/wiki/Boris_Pasternak","https://api.nobelprize.org/2/laureate/629","https://www.nobelprize.org/laureate/629","1890-02-10",1890,"1960-05-30",1960,"ucfv053jpewv","ucfs9eb9n79e"
666,"Cela","Camilo José","male","https://en.wikipedia.org/wiki/Camilo_José_Cela","https://api.nobelprize.org/2/laureate/666","https://www.nobelprize.org/laureate/666","1916-05-11",1916,"2002-01-17",2002,"ez9g5j9jjy6w","ezjmgyy4hrhn"
588,"Spitteler","Carl","male","https://en.wikipedia.org/wiki/Carl_Spitteler","https://api.nobelprize.org/2/laureate/588","https://www.nobelprize.org/laureate/588","1845-04-24",1845,"1924-12-29",1924,"u0mw0h0mww6p","u0mgtj4xhgh2"
662,"Simon","Claude","male","https://en.wikipedia.org/wiki/Claude_Simon","https://api.nobelprize.org/2/laureate/662","https://www.nobelprize.org/laureate/662","1913-10-10",1913,"2005-07-06",2005,"mh9u32k48e5b","u09tvwew9tqx"
657,"Miłosz","Czesław","male","https://en.wikipedia.org/wiki/Czesław_Miłosz","https://api.nobelprize.org/2/laureate/657","https://www.nobelprize.org/laureate/657","1911-06-30",1911,"2004-08-14",2004,"u9c54uk1skdh","u2yhvcgrxxpn"
674,"Fo","Dario","male","https://en.wikipedia.org/wiki/Dario_Fo","https://api.nobelprize.org/2/laureate/674","https://www.nobelprize.org/laureate/674","1926-03-24",1926,"2016-10-13",2016,"u0nhupq1hpv6","u0nd8gvchudh"
669,"Walcott","Derek","male","https://en.wikipedia.org/wiki/Derek_Walcott","https://api.nobelprize.org/2/laureate/669","https://www.nobelprize.org/laureate/669","1930-01-23",1930,"2017-03-17",2017,"ddkxsr9m1255","dds8j550n5yf"
817,"Lessing","Doris","female","https://en.wikipedia.org/wiki/Doris_Lessing","https://api.nobelprize.org/2/laureate/817","https://www.nobelprize.org/laureate/817","1919-10-22",1919,"2013-11-17",2013,"tn17r3bbt74v","gcpvj1puzgy0"
782,"Jelinek","Elfriede","female","https://en.wikipedia.org/wiki/Elfriede_Jelinek","https://api.nobelprize.org/2/laureate/782","https://www.nobelprize.org/laureate/782","1946-10-20",1946,,,"u27nudk32cjt",
658,"Canetti","Elias","male","https://en.wikipedia.org/wiki/Elias_Canetti","https://api.nobelprize.org/2/laureate/658","https://www.nobelprize.org/laureate/658","1905-07-25",1905,"1994-08-14",1994,"sxf3qtehcv5s","u0qjd2ey7zyy"
604,"Karlfeldt","Erik Axel","male","https://en.wikipedia.org/wiki/Erik_Axel_Karlfeldt","https://api.nobelprize.org/2/laureate/604","https://www.nobelprize.org/laureate/604","1864-07-20",1864,"1931-04-08",1931,"u6etcruubnfr","u6sc7pyg248w"
625,"Hemingway","Ernest","male","https://en.wikipedia.org/wiki/Ernest_Hemingway","https://api.nobelprize.org/2/laureate/625","https://www.nobelprize.org/laureate/625","1899-07-21",1899,"1961-07-02",1961,"dp3w6399jxnp","9ry8mxffv80g"
608,"O'Neill","Eugene","male","https://en.wikipedia.org/wiki/Eugene_O'Neill","https://api.nobelprize.org/2/laureate/608","https://www.nobelprize.org/laureate/608","1888-10-16",1888,"1953-11-27",1953,"dr5reu4d7xqv","drt2zp6p26d5"
651,"Montale","Eugenio","male","https://en.wikipedia.org/wiki/Eugenio_Montale","https://api.nobelprize.org/2/laureate/651","https://www.nobelprize.org/laureate/651","1896-10-12",1896,"1981-09-12",1981,"spykeeu6t1f4","u0nd8gvchudh"
